cpus=4
          <idle>-0     [000] 14880.765691584:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.945331005: (+7351)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14881.945361487: (+30482) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14881.945395135: (+33648) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14881.945416820: (+21685) sched_switch:         kworker/0:2:3318 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.945425265: (+8445)  sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.945428376: (+3111)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14881.945436635: (+8259)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14881.945443283: (+6648)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14881.945451339: (+8056)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14881.945455561: (+4222)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14881.945457931: (+2370)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14881.945470450: (+12519) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14881.945479579: (+9129)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14881.945483172: (+3593)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14881.945492339: (+9167)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14881.945501024: (+8685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14881.945504505: (+3481)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14881.945534654: (+30149) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14881.945547616: (+12962) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14881.945552098: (+4482)  sched_switch:         kworker/0:2:3318 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14881.945574561: (+22463) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:3318 [120]
