cpus=4
          stress-3672  [000] 14905.259367602:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14905.436753823: (+9796)  sched_switch:         kworker/0:1H:67 [100] W ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000] 14905.436764212: (+10389) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
     ksoftirqd/0-12    [000] 14905.436769694: (+5482)  sched_switch:         ksoftirqd/0:12 [120] S ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14905.436802990: (+33296) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3678 [120]
          stress-3678  [000] 14905.439615212: (+2812222) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.439625119: (+9907)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.439656175: (+31056) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14905.439695842: (+39667) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3678 [120]
          stress-3678  [000] 14905.441898675: (+2202833) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.441908323: (+9648)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.441935619: (+27296) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14905.441960656: (+25037) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3678 [120]
          stress-3678  [000] 14905.482138990: (+40178334) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.482142953: (+3963)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.482154749: (+11796) sched_switch:         kworker/0:1H:67 [100] D ==> stress:3678 [120]
          stress-3678  [000] 14905.482162323: (+7574)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.482166027: (+3704)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.482179712: (+13685) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3678 [120]
          stress-3678  [000] 14905.482253897: (+74185) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.482256786: (+2889)  sched_switch:         stress:3678 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14905.482271397: (+14611) sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:1-2871  [000] 14905.482300786: (+29389) sched_switch:         kworker/u8:1:2871 [120] W ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [000] 14905.482306823: (+6037)  sched_switch:         kworker/u8:2:2863 [120] W ==> stress:3678 [120]
          stress-3678  [000] 14905.497157323: (+14850500) sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.497161101: (+3778)  sched_switch:         stress:3678 [120] R ==> kworker/u8:2:2863 [120]
