cpus=4
          <idle>-0     [001] 14579.119861031:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
           ngrok-515   [001] 14583.666742051: (+6352)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.666812643: (+70592) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.666817051: (+4408)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.666823477: (+6426)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.666893977: (+70500) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.666898347: (+4370)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.666904791: (+6444)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.666975236: (+70445) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.666979606: (+4370)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.666986106: (+6500)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.667056939: (+70833) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.667061291: (+4352)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.667067680: (+6389)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.667138310: (+70630) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.667142588: (+4278)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.667149014: (+6426)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.667219551: (+70537) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.667221458: (+1907)  sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.667226088: (+4630)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.667248995: (+22907) sched_switch:         ngrok:552 [120] S ==> ngrok:515 [120]
           ngrok-515   [001] 14583.667256958: (+7963)  sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-515   [001] 14583.667262458: (+5500)  sched_switch:         ngrok:515 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14583.667282865: (+20407) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.716332291: (+49049426) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.716337254: (+4963)  sched_switch:         swapper/1:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14583.716349032: (+11778) sched_switch:         ngrok:552 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.716575162: (+226130) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.716579643: (+4481)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.716587995: (+8352)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.716658402: (+70407) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.716662754: (+4352)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.716669384: (+6630)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.716739902: (+70518) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.716744458: (+4556)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.716750921: (+6463)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14583.716821476: (+70555) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14583.716825847: (+4371)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14583.716832291: (+6444)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
