CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9116.282419074: (+9185)  sched_switch:         stress:2463 [120] D ==> stress:2467 [120]
          stress-2467  [001]  9116.284378481: (+1959407) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2467  [001]  9116.284381407: (+2926)  sched_switch:         stress:2467 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.284401648: (+20241) sched_switch:         kworker/1:1H:91 [100] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.284406852: (+5204)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.284410259: (+3407)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.284426778: (+16519) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9116.284438426: (+11648) sched_switch:         kworker/1:1H:91 [100] W ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9116.284465185: (+26759) sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9116.284474722: (+9537)  sched_switch:         ksoftirqd/1:18 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.285153092: (+678370) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9116.285163055: (+9963)  sched_switch:         stress:2463 [120] D ==> stress:2462 [120]
          stress-2462  [001]  9116.286557278: (+1394223) sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
          stress-2462  [001]  9116.286568981: (+11703) sched_switch:         stress:2462 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.287239407: (+670426) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9116.287257907: (+18500) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9116.287299426: (+41519) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9116.287306722: (+7296)  sched_switch:         stress:2463 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.287346796: (+40074) sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2463 [120]
          stress-2463  [001]  9116.291599555: (+4252759) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.294849241: (+3249686) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9116.299590204: (+4740963) sched_switch:         stress:2466 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.302797166: (+3206962) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9116.303959333: (+1162167) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9116.303963796: (+4463)  sched_switch:         stress:2463 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.303984481: (+20685) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.305271629: (+1287148) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9116.307593611: (+2321982) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.308877889: (+1284278) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9116.311590926: (+2713037) sched_switch:         stress:2463 [120] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.313515629: (+1924703) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9116.314035129: (+519500) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
