CPU 3 is empty
cpus=4
          stress-3035  [001] 14483.547264081:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
 jbd2/mmcblk0p2--93    [001] 14483.577126840: (+112963) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
 jbd2/mmcblk0p2--93    [001] 14483.577132469: (+5629)  sched_switch:         jbd2/mmcblk0p2-:93 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14483.577186655: (+54186) sched_switch:         kworker/1:1H:91 [100] W ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [001] 14483.577194155: (+7500)  sched_switch:         jbd2/mmcblk0p2-:93 [120] D ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.577473488: (+279333) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3028 [120]
          stress-3028  [001] 14483.577509747: (+36259) sched_switch:         stress:3028 [120] D ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.577534525: (+24778) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3035 [120]
 task_client_B.a-2965  [000] 14483.577607432: (+72907) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3034 [120]
          stress-3034  [000] 14483.577638932: (+31500) sched_switch:         stress:3034 [120] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.577677395: (+38463) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3030 [120]
          stress-3035  [001] 14483.579891025: (+2213630) sched_switch:         stress:3035 [120] R ==> task_client_A.a:2963 [120]
          stress-3029  [002] 14483.579894006: (+2981)  sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          stress-3029  [002] 14483.579909229: (+15223) sched_switch:         stress:3029 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14483.579927821: (+18592) sched_switch:         kworker/2:2:2856 [120] W ==> task_server.a:2961 [120]
 task_client_A.a-2963  [001] 14483.581683766: (+1755945) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3032 [120]
   task_server.a-2961  [002] 14483.582452618: (+768852) sched_switch:         task_server.a:2961 [120] R ==> stress:3029 [120]
          stress-3030  [000] 14483.583067821: (+615203) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3030  [000] 14483.583081395: (+13574) sched_switch:         stress:3030 [120] R ==> kworker/0:1H:67 [100]
