CPU 3 is empty
cpus=4
       trace-cmd-3422  [002] 14786.320775407:          sched_switch:         trace-cmd:3422 [120] S ==> task_server.a:3358 [120]
           ngrok-555   [002] 14786.668200165: (+20278) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14786.668219980: (+19815) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14786.668233461: (+13481) sched_switch:         ngrok:517 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14786.668259443: (+25982) sched_switch:         ngrok:555 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.668490573: (+231130) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.673346850: (+4856277) sched_switch:         stress:3425 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.677380535: (+4033685) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.681321998: (+3941463) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.684374887: (+3052889) sched_switch:         task_server.a:3358 [120] R ==> stress:3428 [120]
          stress-3428  [002] 14786.689322054: (+4947167) sched_switch:         stress:3428 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.693453369: (+4131315) sched_switch:         task_server.a:3358 [120] R ==> stress:3432 [120]
          stress-3432  [002] 14786.697331702: (+3878333) sched_switch:         stress:3432 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.700581609: (+3249907) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.705331387: (+4749778) sched_switch:         stress:3425 [120] R ==> task_server.a:3358 [120]
