CPU 3 is empty
cpus=4
          stress-3431  [000] 14786.320974981:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322184963: (+3667)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322198685: (+13722) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322207352: (+8667)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322211074: (+3722)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322219778: (+8704)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322228240: (+8462)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322231870: (+3630)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322240833: (+8963)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322249148: (+8315)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322252796: (+3648)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322261574: (+8778)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322270111: (+8537)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322273703: (+3592)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322282537: (+8834)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322290815: (+8278)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322294426: (+3611)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322303648: (+9222)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322311963: (+8315)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322315685: (+3722)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322329426: (+13741) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322338148: (+8722)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322341907: (+3759)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322350740: (+8833)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322359185: (+8445)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322362833: (+3648)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
